chlorides,free sulfur dioxide,total sulfur dioxide,fixed acidity,volatile acidity,citric acid,density
0.086,12,80,6.7,0.75,0.12,0.9958
0.08,27,119,8.3,0.625,0.2,0.9972
0.069,3,15,6.2,0.45,0.2,0.9958
0.464,22,67,7.8,0.43,0.7,0.9974
0.086,21,73,7.4,0.5,0.47,0.997
0.401,16,51,7.3,0.67,0.26,0.9969
0.069,18,61,6.3,0.3,0.48,0.9959
0.076,19,40,6.9,0.55,0.15,0.9961
0.11,20,136,8.6,0.49,0.28,0.9972
0.062,9,31,7.7,0.49,0.26,0.9966
0.107,34,125,9.3,0.39,0.44,0.9978
0.076,8,24,7,0.62,0.08,0.9978
0.079,42,140,7.9,0.52,0.26,0.9964
0.11,20,136,8.6,0.49,0.28,0.9972
0.11,19,133,8.6,0.49,0.29,0.9972
0.062,9,31,7.7,0.49,0.26,0.9966
0.045,41,85,5,1.02,0.04,0.9938
0.058,17,106,4.7,0.6,0.17,0.9932
0.102,8,23,6.8,0.775,0,0.9965
0.07,3,22,7,0.5,0.25,0.9963
0.079,5,10,7.6,0.9,0.06,0.9967
0.08,13,35,8.1,0.545,0.18,0.9972
0.084,11,50,8.3,0.61,0.3,0.9972
0.075,8,22,7.8,0.5,0.3,0.9959
0.08,13,35,8.1,0.545,0.18,0.9972
0.077,12,65,8.1,0.575,0.22,0.9967
0.07,5,36,7.2,0.49,0.24,0.996
0.077,12,65,8.1,0.575,0.22,0.9967
0.467,18,69,7.8,0.41,0.68,0.9973
0.088,15,64,6.2,0.63,0.31,0.9969
0.091,18,80,8,0.33,0.53,0.9976
0.122,37,153,8.1,0.785,0.52,0.9969
0.104,12,47,7.8,0.56,0.19,0.9964
0.084,11,108,8.4,0.62,0.09,0.9964
0.085,14,111,8.4,0.6,0.1,0.9964
0.08,22,46,10.1,0.31,0.44,0.9988
0.104,12,47,7.8,0.56,0.19,0.9964
0.09,13,62,9.4,0.4,0.31,0.9966
0.077,11,40,8.3,0.54,0.28,0.9978
0.082,7,28,7.8,0.56,0.12,0.997
0.119,14,56,8.8,0.55,0.04,0.9962
0.097,22,89,7,0.69,0.08,0.9959
0.178,10,89,7.3,1.07,0.09,0.9962
0.119,14,56,8.8,0.55,0.04,0.9962
0.075,3,13,7.3,0.695,0,0.998
0.08,11,34,8,0.71,0,0.9976
0.082,21,102,7.8,0.5,0.17,0.996
0.146,27,90,9,0.62,0.04,0.9984
0.081,3,12,8.2,1.33,0,0.9964
0.082,3,12,8.1,1.33,0,0.9964
0.065,3,16,8,0.59,0.16,0.9962
0.072,6,19,6.1,0.38,0.15,0.9955
0.118,30,134,8,0.745,0.56,0.9968
0.049,17,99,5.6,0.5,0.09,0.9937
0.049,17,99,5.6,0.5,0.09,0.9937
0.06,17,26,6.6,0.5,0.01,0.9952
0.084,13,29,7.9,1.04,0.05,0.9959
0.09,16,63,8.4,0.745,0.11,0.9965
0.089,10,52,8.3,0.715,0.15,0.9968
0.081,13,45,7.2,0.415,0.36,0.9972
0.081,15,105,7.8,0.56,0.19,0.9962
0.081,17,108,7.8,0.56,0.19,0.9962
0.09,16,63,8.4,0.745,0.11,0.9965
0.089,10,52,8.3,0.715,0.15,0.9968
0.05,27,63,5.2,0.34,0,0.9916
0.066,3,20,6.3,0.39,0.08,0.9954
0.05,27,63,5.2,0.34,0,0.9916
0.117,32,141,8.1,0.67,0.55,0.9968
0.087,21,94,5.8,0.68,0.02,0.9944
0.236,10,88,7.6,0.49,0.26,0.9968
0.074,12,30,6.9,0.49,0.1,0.9959
0.089,11,43,8.2,0.4,0.44,0.9975
0.077,5,11,7.3,0.33,0.47,0.9958
0.61,32,69,9.2,0.52,1,0.9996
0.095,25,99,7.5,0.6,0.03,0.995
0.095,25,99,7.5,0.6,0.03,0.995
0.07,29,129,7.1,0.43,0.42,0.9973
0.071,28,128,7.1,0.43,0.42,0.9973
0.07,29,129,7.1,0.43,0.42,0.9973
0.071,28,128,7.1,0.43,0.42,0.9973
0.073,12,22,7.1,0.68,0,0.9969
0.079,18,86,6.8,0.6,0.18,0.9968
0.09,7,20,7.6,0.95,0.03,0.9959
0.072,9,20,7.6,0.68,0.02,0.9965
0.076,17,31,7.8,0.53,0.04,0.9964
0.07,36,121,7.4,0.6,0.26,0.9982
0.07,35,121,7.3,0.59,0.26,0.9981
0.1,14,96,7.8,0.63,0.48,0.9961
0.085,18,101,6.8,0.64,0.1,0.9956
0.072,17,42,7.3,0.55,0.03,0.9956
0.089,11,44,6.8,0.63,0.07,0.9953
0.36,15,63,7.5,0.705,0.24,0.9964
0.058,4,8,7.9,0.885,0.03,0.9972
0.073,6,18,8,0.42,0.17,0.9972
0.073,6,18,8,0.42,0.17,0.9972
0.068,24,42,7.4,0.62,0.05,0.9961
0.08,7,35,7.3,0.38,0.21,0.9961
0.085,19,49,6.9,0.5,0.04,0.9958
0.08,7,35,7.3,0.38,0.21,0.9961
0.087,8,38,7.5,0.52,0.42,0.9972
0.068,7,20,7,0.805,0,0.9969
0.067,10,42,8.8,0.61,0.14,0.9969
0.067,10,42,8.8,0.61,0.14,0.9969
0.27,23,110,8.9,0.61,0.49,0.9972
0.076,16,42,7.2,0.73,0.02,0.9972
0.077,11,65,6.8,0.61,0.2,0.9971
0.079,8,62,6.7,0.62,0.21,0.997
0.111,26,85,8.9,0.31,0.57,0.9971
0.082,14,67,7.4,0.39,0.48,0.9972
0.084,9,26,7.7,0.705,0.1,0.9976
0.084,15,143,7.9,0.5,0.33,0.9968
0.082,17,144,7.9,0.49,0.32,0.9968
0.077,21,127,8.2,0.5,0.35,0.9976
0.074,21,49,6.4,0.37,0.25,0.9974
0.099,16,126,6.8,0.63,0.12,0.9969
0.071,7,28,7.6,0.55,0.21,0.9964
0.071,7,28,7.6,0.55,0.21,0.9964
0.074,24,120,7.8,0.59,0.33,0.9968
0.074,15,55,7.3,0.58,0.3,0.9968
0.067,12,27,11.5,0.3,0.6,0.9981
0.046,13,93,5.4,0.835,0.08,0.9924
0.061,12,31,6.9,1.09,0.06,0.9948
0.056,9,24,9.6,0.32,0.47,0.99695
0.097,39,145,8.8,0.37,0.48,0.9975
0.075,16,49,6.8,0.5,0.11,0.99545
0.088,16,39,7,0.42,0.35,0.9961
0.089,14,37,7,0.43,0.36,0.99615
0.095,9,28,12.8,0.3,0.74,0.9994
0.095,9,28,12.8,0.3,0.74,0.9994
0.069,26,120,7.8,0.57,0.31,0.99625
0.1,18,95,7.8,0.44,0.28,0.9966
0.054,7,19,11,0.3,0.58,0.998
0.039,5,19,9.7,0.53,0.6,0.99585
0.083,10,62,8,0.725,0.24,0.99685
0.059,5,15,11.6,0.44,0.64,0.998
0.06,28,65,8.2,0.57,0.26,0.9959
0.092,10,41,7.8,0.735,0.08,0.9974
0.06,26,121,7,0.49,0.49,0.9974
0.101,13,49,8.7,0.625,0.16,0.9962
0.072,11,41,8.1,0.725,0.22,0.9967
0.076,10,44,7.5,0.49,0.19,0.9957
0.08,24,144,7.8,0.53,0.33,0.99655
0.082,24,58,7.8,0.34,0.37,0.9964
0.101,16,72,7.4,0.53,0.26,0.9957
0.057,5,10,6.8,0.61,0.04,0.99525
0.083,8,28,8.6,0.645,0.25,0.99815
0.089,15,55,8.4,0.635,0.36,0.99745
0.073,29,63,7.7,0.43,0.25,0.99615
0.337,27,81,8.9,0.59,0.5,0.9964
0.089,9,23,9,0.82,0.14,0.9984
0.073,29,63,7.7,0.43,0.25,0.99615
0.081,10,37,6.9,0.52,0.25,0.99685
0.054,19,106,5.2,0.48,0.04,0.9927
0.078,12,49,8,0.38,0.06,0.99625
0.09,18,58,8.5,0.37,0.2,0.998
0.081,10,37,6.9,0.52,0.25,0.99685
0.065,7,37,8.2,1,0.09,0.99685
0.097,14,38,7.2,0.63,0,0.99675
0.097,14,38,7.2,0.63,0,0.99675
0.097,15,39,7.2,0.645,0,0.99675
0.097,14,38,7.2,0.63,0,0.99675
0.065,7,37,8.2,1,0.09,0.99685
0.263,5,62,8.9,0.635,0.37,0.9971
0.093,6,24,12,0.38,0.56,0.99925
0.102,28,109,7.7,0.58,0.1,0.99565
0.075,10,24,15,0.21,0.44,1.00005
0.075,10,24,15,0.21,0.44,1.00005
0.084,6,23,7.3,0.66,0,0.9983
0.075,16,51,7.1,0.68,0.07,0.99685
0.072,11,73,8.2,0.6,0.17,0.9963
0.074,9,39,7.7,0.53,0.06,0.99615
0.084,6,23,7.3,0.66,0,0.9983
0.063,16,37,10.8,0.32,0.44,0.9985
0.074,16,34,7.1,0.6,0,0.9972
0.09,5,21,11.1,0.35,0.48,0.9986
0.092,8,86,7.7,0.775,0.42,0.9959
0.074,16,34,7.1,0.6,0,0.9972
0.073,17,119,8,0.57,0.23,0.99675
0.075,5,13,9.4,0.34,0.37,0.998
0.075,12,56,6.6,0.695,0,0.9968
0.611,8,45,7.7,0.41,0.76,0.9968
0.085,14,33,10,0.31,0.47,0.99965
0.077,18,45,7.9,0.33,0.23,0.99625
0.087,12,67,7,0.975,0.04,0.99565
0.07,10,35,8,0.52,0.03,0.99575
0.077,23,49,7.9,0.37,0.23,0.9963
0.064,5,27,12.5,0.56,0.49,0.9999
0.071,6,10,11.8,0.26,0.52,0.9968
0.096,26,61,8.1,0.87,0,1.00025
0.078,15,37,7.9,0.35,0.46,0.9973
0.077,7,27,6.9,0.54,0.04,0.9987
0.104,4,23,11.5,0.18,0.51,0.9996
0.087,27,61,7.9,0.545,0.06,0.9965
0.104,4,23,11.5,0.18,0.51,0.9996
0.071,17,65,10.9,0.37,0.58,0.99935
0.076,10,38,8.4,0.715,0.2,0.99735
0.088,27,94,7.5,0.65,0.18,0.99915
0.087,27,61,7.9,0.545,0.06,0.9965
0.077,7,27,6.9,0.54,0.04,0.9987
0.104,4,23,11.5,0.18,0.51,0.9996
0.073,5,13,10.3,0.32,0.45,0.9976
0.087,10,47,8.9,0.4,0.32,0.9991
0.071,6,19,11.4,0.26,0.44,0.9986
0.358,5,10,7.7,0.27,0.68,0.9972
0.067,12,53,7.6,0.52,0.12,0.9971
0.087,10,47,8.9,0.4,0.32,0.9991
0.102,32,71,9.9,0.59,0.07,1.00015
0.102,32,71,9.9,0.59,0.07,1.00015
0.073,25,49,12,0.45,0.55,0.9997
0.092,29,53,7.5,0.4,0.12,0.9967
0.091,20,49,8.7,0.52,0.09,0.9976
0.105,33,98,11.6,0.42,0.53,1.001
0.091,20,49,8.7,0.52,0.09,0.9976
0.343,6,18,11,0.2,0.48,0.9979
0.091,18,48,10.4,0.55,0.23,0.9994
0.098,5,16,6.9,0.36,0.25,0.9964
0.094,17,53,13.3,0.34,0.52,1.0014
0.073,5,27,10.8,0.5,0.46,1.0001
0.086,26,70,10.6,0.83,0.37,0.9981
0.083,8,29,7.1,0.63,0.06,0.99855
0.094,5,31,7.2,0.65,0.02,0.9993
0.08,8,33,6.9,0.67,0.06,0.99845
0.086,20,44,7.5,0.53,0.06,0.9965
0.068,7,15,11.1,0.18,0.48,0.9973
0.092,12,28,8.3,0.705,0.12,0.9994
0.186,5,21,7.4,0.67,0.12,0.996
0.112,12,90,8.4,0.65,0.6,0.9973
0.063,6,25,10.3,0.53,0.48,0.9998
0.082,7,54,7.6,0.62,0.32,0.9966
0.213,6,14,10.3,0.41,0.42,0.9994
0.214,5,12,10.3,0.43,0.44,0.9994
0.062,9,30,7.4,0.29,0.38,0.9968
0.063,6,25,10.3,0.53,0.48,0.9998
0.072,15,105,7.9,0.53,0.24,0.996
0.093,19,98,9,0.46,0.31,0.99815
0.076,30,135,8.6,0.47,0.3,0.9976
0.087,26,72,7.4,0.36,0.29,0.99645
0.096,20,53,7.1,0.35,0.29,0.9962
0.102,37,92,9.6,0.56,0.23,0.9996
0.082,30,74,9.6,0.77,0.12,0.99865
0.083,21,59,9.8,0.66,0.39,0.9989
0.082,30,74,9.6,0.77,0.12,0.99865
0.083,21,59,9.8,0.66,0.39,0.9989
0.09,25,87,9.3,0.61,0.26,0.99975
0.079,6,18,7.8,0.62,0.05,0.99735
0.09,35,73,10.3,0.59,0.42,0.999
0.071,13,50,10,0.49,0.2,1.0015
0.071,13,50,10,0.49,0.2,1.0015
0.121,6,14,11.6,0.53,0.66,0.9978
0.107,5,13,10.3,0.44,0.5,0.998
0.082,6,21,13.4,0.27,0.62,1.0002
0.061,7,15,10.7,0.46,0.39,0.9981
0.122,10,41,10.2,0.36,0.64,0.998
0.122,10,41,10.2,0.36,0.64,0.998
0.066,21,114,8,0.58,0.28,0.9973
0.105,16,44,8.4,0.56,0.08,0.9958
0.078,17,38,7.9,0.65,0.01,0.9963
0.128,7,21,11.9,0.695,0.53,0.9992
0.052,6,16,8.9,0.43,0.45,0.9948
0.08,29,58,7.8,0.43,0.32,0.9974
0.103,28,99,12.4,0.49,0.58,1.0008
0.082,12,29,12.5,0.28,0.54,0.9997
0.066,10,21,12.2,0.34,0.5,1
0.065,5,18,10.6,0.42,0.48,0.9972
0.118,6,14,10.9,0.39,0.47,0.9982
0.118,6,14,10.9,0.39,0.47,0.9982
0.082,6,32,11.9,0.57,0.5,1.0006
0.067,40,63,7,0.685,0,0.9979
0.072,17,34,6.6,0.815,0.02,0.9955
0.093,6,15,13.8,0.49,0.67,0.9986
0.089,15,46,9.6,0.56,0.31,0.9979
0.093,11,28,9.1,0.785,0,0.9994
0.107,17,34,10.7,0.67,0.22,1.0004
0.096,11,26,9.1,0.795,0,0.9994
0.09,8,19,7.7,0.665,0,0.9974
0.12,23,77,13.5,0.53,0.79,1.0018
0.066,40.5,165,6.1,0.21,0.4,0.9912
0.078,17,32,6.7,0.75,0.01,0.9955
0.08,29,55,11.5,0.41,0.52,1.0001
0.116,12,29,10.5,0.42,0.66,0.997
0.109,10,23,11.9,0.43,0.66,1
0.088,10,41,12.6,0.38,0.66,1.001
0.099,14,81,8.2,0.7,0.23,0.9973
0.086,21,50,8.6,0.45,0.31,0.9982
0.072,6,37,11.9,0.58,0.66,0.9992
0.071,6,15,12.5,0.46,0.63,0.9988
0.083,7,42,12.8,0.615,0.66,1.0022
0.107,7,21,10,0.42,0.5,0.9979
0.083,7,42,12.8,0.615,0.66,1.0022
0.076,11,24,10.4,0.575,0.61,1
0.159,15,75,10.3,0.34,0.52,0.9998
0.074,6,18,9.4,0.27,0.53,0.9962
0.063,35,63,6.9,0.765,0.02,0.9975
0.056,11,25,7.9,0.24,0.4,0.9967
0.067,26,46,9.1,0.28,0.48,0.9967
0.106,12,72,7.4,0.55,0.22,0.9959
0.089,6,47,14,0.41,0.63,1.0014
0.124,6,15,11.5,0.54,0.71,0.9984
0.078,19,47,11.5,0.45,0.5,1.0003
0.074,6,18,9.4,0.27,0.53,0.9962
0.088,6,24,11.4,0.625,0.66,0.9988
0.094,24,60,8.3,0.42,0.38,0.9979
0.08,11,27,8.3,0.26,0.42,0.9974
0.085,17,43,13.7,0.415,0.68,1.0014
0.08,11,27,8.3,0.26,0.42,0.9974
0.08,11,27,8.3,0.26,0.42,0.9974
0.087,23,54,7.7,0.51,0.28,0.998
0.09,11,37,7.4,0.63,0.07,0.9979
0.088,23,48,7.8,0.54,0.26,0.9981
0.079,17,42,8.3,0.66,0.15,0.9972
0.088,23,53,7.8,0.46,0.26,0.9981
0.096,16,49,9.6,0.38,0.31,0.9982
0.045,12,88,5.6,0.85,0.05,0.9924
0.085,17,43,13.7,0.415,0.68,1.0014
0.082,6,26,9.5,0.37,0.52,0.998
0.112,13,95,8.4,0.665,0.61,0.997
0.063,6,25,12.7,0.6,0.65,0.9997
0.066,7,38,12,0.37,0.76,1.0004
0.122,68,124,6.6,0.735,0.02,0.9994
0.087,13,49,11.5,0.59,0.59,0.9988
0.087,13,49,11.5,0.59,0.59,0.9988
0.064,9,42,8.7,0.765,0.22,0.9963
0.122,68,124,6.6,0.735,0.02,0.9994
0.059,20,38,7.7,0.26,0.3,0.9949
0.085,19,64,12.2,0.48,0.54,1
0.085,10,41,11.4,0.6,0.49,0.9994
0.075,15,27,7.7,0.69,0.05,0.9974
0.059,11,25,8.7,0.31,0.46,0.9966
0.063,9,28,9.8,0.44,0.47,0.9981
0.093,12,30,12,0.39,0.66,0.9996
0.174,6,16,10.4,0.34,0.58,0.997
0.07,26,49,12.5,0.46,0.49,0.9981
0.08,26,86,9,0.43,0.34,0.9987
0.08,23,78,9.1,0.45,0.35,0.9987
0.1,15,77,7.1,0.735,0.16,0.9966
0.097,6,19,9.9,0.4,0.53,0.9986
0.087,24,122,8.8,0.52,0.34,0.9982
0.117,31,134,8.6,0.725,0.24,1.0014
0.111,6,20,10.6,0.48,0.64,0.997
0.091,34,124,7,0.58,0.12,0.9956
0.121,7,20,11.9,0.38,0.51,0.9996
0.066,34,52,6.8,0.77,0,0.9976
0.089,35,67,9.5,0.56,0.33,0.9972
0.059,32,48,6.6,0.84,0.03,0.9952
0.047,15,60,7.7,0.96,0.2,0.9955
0.066,6,24,10.5,0.24,0.47,0.9978
0.047,15,60,7.7,0.96,0.2,0.9955
0.059,32,48,6.6,0.84,0.03,0.9952
0.045,19,48,6.4,0.67,0.08,0.9949
0.077,6,32,9.5,0.78,0.22,0.9988
0.07,9,30,9.1,0.52,0.33,0.9978
0.088,13,35,12.8,0.84,0.63,0.9997
0.066,6,24,10.5,0.24,0.47,0.9978
0.074,21,66,7.8,0.55,0.35,0.9974
0.078,12,24,11.9,0.37,0.69,0.9958
0.091,6,18,12.3,0.39,0.63,1.0004
0.076,22,54,10.4,0.41,0.55,0.9996
0.091,6,18,12.3,0.39,0.63,1.0004
0.06,38,62,8,0.67,0.3,0.9958
0.066,6,22,11.1,0.45,0.73,0.9986
0.076,22,54,10.4,0.41,0.55,0.9996
0.062,7,50,7,0.62,0.18,0.9951
0.072,6,29,12.6,0.31,0.72,0.9987
0.068,7,27,11.9,0.4,0.65,0.9988
0.1,6,43,15.6,0.685,0.76,1.0032
0.077,11,19,10,0.44,0.49,0.9963
0.054,5,27,5.3,0.57,0.01,0.9934
0.079,6,31,9.5,0.735,0.1,0.9986
0.081,31,72,12.5,0.38,0.6,0.9996
0.127,6,16,9.3,0.48,0.29,0.9968
0.1,7,27,8.6,0.53,0.22,0.9967
0.095,17,35,11.9,0.39,0.69,0.9994
0.095,17,35,11.9,0.39,0.69,0.9994
0.413,9,26,8.4,0.37,0.53,0.9979
0.084,18,35,6.8,0.56,0.03,0.9968
0.084,5,22,10.4,0.33,0.63,0.9998
0.063,21,67,7,0.23,0.4,0.9952
0.086,6,19,11.3,0.62,0.67,0.9988
0.095,5,22,8.9,0.59,0.39,0.9986
0.097,29,65,9.2,0.63,0.21,0.9988
0.084,5,22,10.4,0.33,0.63,0.9998
0.074,10,47,11.6,0.58,0.66,1.0008
0.083,14,23,9.2,0.43,0.52,0.9976
0.087,6,19,8.3,0.615,0.22,0.9982
0.085,10,25,11,0.26,0.68,0.997
0.098,25,129,8.1,0.66,0.7,0.9972
0.084,5,15,11.5,0.315,0.54,0.9987
0.098,10,26,10,0.29,0.4,1.0006
0.069,21,51,10.3,0.5,0.42,0.9982
0.065,7,18,8.8,0.46,0.45,0.9947
0.09,6,21,11.4,0.36,0.69,1
0.07,36,48,8.7,0.82,0.02,0.9952
0.093,15,47,13,0.32,0.65,0.9996
0.081,25,52,9.6,0.54,0.42,0.997
0.083,25,68,12.5,0.37,0.55,0.9995
0.062,5,14,9.9,0.35,0.55,0.9971
0.08,10,24,10.5,0.28,0.51,0.9982
0.087,5,28,9.6,0.68,0.24,0.9988
0.091,6,16,9.3,0.27,0.41,0.998
0.075,6,20,10.4,0.24,0.49,0.9977
0.087,5,28,9.6,0.68,0.24,0.9988
0.077,6,31,9.4,0.685,0.11,0.9984
0.069,6,23,10.6,0.28,0.39,1.0026
0.08,6,17,9.4,0.3,0.56,0.9964
0.152,6,18,10.6,0.36,0.59,0.9986
0.152,7,18,10.6,0.36,0.6,0.9986
0.114,6,24,10.6,0.44,0.68,0.997
0.054,6,17,10.2,0.67,0.39,0.9976
0.054,6,17,10.2,0.67,0.39,0.9976
0.053,5,14,10.2,0.645,0.36,0.9982
0.081,35,67,11.6,0.32,0.55,1.0002
0.073,10,26,9.3,0.39,0.4,0.9984
0.078,24,56,9.3,0.775,0.27,0.9984
0.055,12,25,9.2,0.41,0.5,0.9952
0.052,13,27,8.9,0.4,0.51,0.995
0.086,23,81,8.7,0.69,0.31,1.0002
0.051,28,91,6.5,0.39,0.23,0.9952
0.07,5,16,10.7,0.35,0.53,0.9972
0.081,14,38,7.8,0.52,0.25,0.9984
0.09,43,113,7.2,0.34,0.32,0.9966
0.07,5,16,10.7,0.35,0.53,0.9972
0.086,23,81,8.7,0.69,0.31,1.0002
0.081,14,38,7.8,0.52,0.25,0.9984
0.074,38,76,10.4,0.44,0.73,0.999
0.074,38,76,10.4,0.44,0.73,0.999
0.078,6,24,10.5,0.26,0.47,0.9976
0.077,6,22,10.5,0.24,0.42,0.9976
0.072,10,26,10.2,0.49,0.63,0.9968
0.075,6,21,10.4,0.24,0.46,0.9976
0.084,6,13,11.2,0.67,0.55,1
0.09,26,62,10,0.59,0.31,0.9994
0.084,23,43,13.3,0.29,0.75,0.9986
0.073,19,43,12.4,0.42,0.49,0.9978
0.09,26,62,10,0.59,0.31,0.9994
0.125,15,49,10.7,0.4,0.48,0.998
0.107,6,15,10.5,0.51,0.64,0.9973
0.107,6,15,10.5,0.51,0.64,0.9973
0.122,34,151,8.5,0.655,0.49,1.001
0.1,5,14,12.5,0.6,0.49,1.001
0.2,5,16,10.4,0.61,0.49,0.9994
0.088,11,32,10.9,0.21,0.49,0.9972
0.088,39,106,7.3,0.365,0.49,0.9966
0.088,15,33,9.8,0.25,0.49,0.9982
0.088,16,43,7.6,0.41,0.49,0.998
0.099,47,133,8.2,0.39,0.49,0.9979
0.085,38,142,9.3,0.4,0.49,0.9978
0.086,23,116,9.2,0.43,0.49,0.9976
0.105,29,53,10.4,0.64,0.24,0.9998
0.088,39,106,7.3,0.365,0.49,0.9966
0.097,33,85,7,0.38,0.49,0.9962
0.084,32,55,8.2,0.42,0.49,0.9988
0.077,6,33,9.9,0.63,0.24,0.9974
0.078,1,28,9.1,0.22,0.24,0.999
0.098,12,42,11.9,0.38,0.49,1.0004
0.098,12,42,11.9,0.38,0.49,1.0004
0.072,15,33,10.3,0.27,0.24,0.9956
0.102,13,32,10,0.48,0.24,1
0.078,1,28,9.1,0.22,0.24,0.999
0.077,6,33,9.9,0.63,0.24,0.9974
0.084,5,13,8.1,0.825,0.24,0.9972
0.066,5,35,12.9,0.35,0.49,1.0014
0.1,5,17,11.2,0.5,0.74,0.9996
0.101,20,47,9.2,0.59,0.24,0.9988
0.064,5,17,9.5,0.46,0.49,0.9988
0.07,5,20,9.3,0.715,0.24,0.9966
0.085,16,53,11.2,0.66,0.24,0.9993
0.075,6,15,14.3,0.31,0.74,1.0008
0.094,38,106,9.1,0.47,0.49,0.9982
0.078,10,28,7.5,0.55,0.24,0.9983
0.067,6,21,10.6,0.31,0.49,0.9987
0.079,27,69,12.4,0.35,0.49,0.9994
0.171,6,25,9,0.53,0.49,0.9975
0.074,9,25,6.8,0.51,0.01,0.9958
0.092,14,45,9.4,0.43,0.24,0.998
0.092,14,44,9.5,0.46,0.24,0.998
0.05,32,96,5,1.04,0.24,0.9934
0.095,10,23,15.5,0.645,0.49,1.00315
0.095,10,23,15.5,0.645,0.49,1.00315
0.118,10,17,10.9,0.53,0.49,1.0002
0.095,10,23,15.6,0.645,0.49,1.00315
0.118,10,17,10.9,0.53,0.49,1.0002
0.085,6,47,13,0.47,0.49,1.0021
0.075,5,19,12.7,0.6,0.49,0.9994
0.078,26,121,9,0.44,0.49,0.9978
0.094,41,110,9,0.54,0.49,0.9982
0.092,25,60,7.6,0.29,0.49,0.9971
0.085,6,47,13,0.47,0.49,1.0021
0.075,5,19,12.7,0.6,0.49,0.9994
